dataset_index,n_clusters,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,Ward_Agglomerative_Clustering,Complete_Agglomerative_Clustering,Average_Agglomerative_Clustering,Single_Agglomerative_Clustering,K_Means,Mini_Batch_K_Means,Spectral_Clustering,Affinity_Propagation,Gaussian_Mixture
28,3,0.26303381923976854,0.017851430061378903,0.13360924392188928,1.0335500856789297,1.7330823993458582,0.07457222627694945,0.2853717026378897,0.3102793127816587,0.18958746046640948,0.08529987604119603,0.03146468332580313,0.015211019590125002,0.005444919426777418,0.002154797900809787,0.0006140015523812834,0.7241163590866437,0.2326950034175558,0.030340944635595873,0.01284769286020459,8.0,2.0,3.0,1.0,5.0,6.0,4.0,7.0,9.0
28,4,0.26303381923976854,0.017851430061378903,0.13360924392188928,1.0335500856789297,1.7330823993458582,0.07457222627694945,0.2853717026378897,0.3102793127816587,0.18958746046640948,0.08529987604119603,0.03146468332580313,0.015211019590125002,0.005444919426777418,0.002154797900809787,0.0006140015523812834,0.7241163590866437,0.2326950034175558,0.030340944635595873,0.01284769286020459,8.0,3.0,2.0,1.0,5.0,6.0,4.0,7.0,9.0
28,5,0.26303381923976854,0.017851430061378903,0.13360924392188928,1.0335500856789297,1.7330823993458582,0.07457222627694945,0.2853717026378897,0.3102793127816587,0.18958746046640948,0.08529987604119603,0.03146468332580313,0.015211019590125002,0.005444919426777418,0.002154797900809787,0.0006140015523812834,0.7241163590866437,0.2326950034175558,0.030340944635595873,0.01284769286020459,7.0,4.0,1.0,2.0,5.0,6.0,3.0,8.0,9.0
28,6,0.26303381923976854,0.017851430061378903,0.13360924392188928,1.0335500856789297,1.7330823993458582,0.07457222627694945,0.2853717026378897,0.3102793127816587,0.18958746046640948,0.08529987604119603,0.03146468332580313,0.015211019590125002,0.005444919426777418,0.002154797900809787,0.0006140015523812834,0.7241163590866437,0.2326950034175558,0.030340944635595873,0.01284769286020459,5.0,3.0,1.0,2.0,6.0,4.0,7.0,8.0,9.0
28,7,0.26303381923976854,0.017851430061378903,0.13360924392188928,1.0335500856789297,1.7330823993458582,0.07457222627694945,0.2853717026378897,0.3102793127816587,0.18958746046640948,0.08529987604119603,0.03146468332580313,0.015211019590125002,0.005444919426777418,0.002154797900809787,0.0006140015523812834,0.7241163590866437,0.2326950034175558,0.030340944635595873,0.01284769286020459,8.0,4.0,2.0,1.0,3.0,5.0,6.0,7.0,9.0
28,8,0.26303381923976854,0.017851430061378903,0.13360924392188928,1.0335500856789297,1.7330823993458582,0.07457222627694945,0.2853717026378897,0.3102793127816587,0.18958746046640948,0.08529987604119603,0.03146468332580313,0.015211019590125002,0.005444919426777418,0.002154797900809787,0.0006140015523812834,0.7241163590866437,0.2326950034175558,0.030340944635595873,0.01284769286020459,6.0,4.0,1.0,2.0,3.0,7.0,5.0,8.0,9.0
28,9,0.26303381923976854,0.017851430061378903,0.13360924392188928,1.0335500856789297,1.7330823993458582,0.07457222627694945,0.2853717026378897,0.3102793127816587,0.18958746046640948,0.08529987604119603,0.03146468332580313,0.015211019590125002,0.005444919426777418,0.002154797900809787,0.0006140015523812834,0.7241163590866437,0.2326950034175558,0.030340944635595873,0.01284769286020459,4.0,3.0,2.0,1.0,6.0,7.0,5.0,8.0,9.0
28,10,0.26303381923976854,0.017851430061378903,0.13360924392188928,1.0335500856789297,1.7330823993458582,0.07457222627694945,0.2853717026378897,0.3102793127816587,0.18958746046640948,0.08529987604119603,0.03146468332580313,0.015211019590125002,0.005444919426777418,0.002154797900809787,0.0006140015523812834,0.7241163590866437,0.2326950034175558,0.030340944635595873,0.01284769286020459,5.0,6.0,2.0,1.0,3.0,8.0,4.0,7.0,9.0
29,2,0.3693962952554325,0.019097359659092213,0.13819319686255258,0.548566904884624,0.8686781029599397,0.01323517247084126,0.05947555629084292,0.25560426834312183,0.30821407891471586,0.19869302671850442,0.10207626768136323,0.04260071139052031,0.014310530234097113,0.004549590536851683,0.0012407974191413682,0.711969559103317,0.23699230705600133,0.04400694846554719,0.00703118537513442,5.0,3.0,1.0,2.0,4.0,9.0,6.0,8.0,7.0
29,3,0.3693962952554325,0.019097359659092213,0.13819319686255258,0.548566904884624,0.8686781029599397,0.01323517247084126,0.05947555629084292,0.25560426834312183,0.30821407891471586,0.19869302671850442,0.10207626768136323,0.04260071139052031,0.014310530234097113,0.004549590536851683,0.0012407974191413682,0.711969559103317,0.23699230705600133,0.04400694846554719,0.00703118537513442,8.0,4.0,1.0,2.0,3.0,5.0,6.0,9.0,7.0
29,4,0.3693962952554325,0.019097359659092213,0.13819319686255258,0.548566904884624,0.8686781029599397,0.01323517247084126,0.05947555629084292,0.25560426834312183,0.30821407891471586,0.19869302671850442,0.10207626768136323,0.04260071139052031,0.014310530234097113,0.004549590536851683,0.0012407974191413682,0.711969559103317,0.23699230705600133,0.04400694846554719,0.00703118537513442,9.0,4.0,2.0,1.0,5.0,7.0,3.0,8.0,6.0
29,5,0.3693962952554325,0.019097359659092213,0.13819319686255258,0.548566904884624,0.8686781029599397,0.01323517247084126,0.05947555629084292,0.25560426834312183,0.30821407891471586,0.19869302671850442,0.10207626768136323,0.04260071139052031,0.014310530234097113,0.004549590536851683,0.0012407974191413682,0.711969559103317,0.23699230705600133,0.04400694846554719,0.00703118537513442,8.0,9.0,2.0,1.0,3.0,4.0,6.0,7.0,5.0
29,6,0.3693962952554325,0.019097359659092213,0.13819319686255258,0.548566904884624,0.8686781029599397,0.01323517247084126,0.05947555629084292,0.25560426834312183,0.30821407891471586,0.19869302671850442,0.10207626768136323,0.04260071139052031,0.014310530234097113,0.004549590536851683,0.0012407974191413682,0.711969559103317,0.23699230705600133,0.04400694846554719,0.00703118537513442,9.0,4.0,2.0,1.0,3.0,5.0,6.0,8.0,7.0
29,7,0.3693962952554325,0.019097359659092213,0.13819319686255258,0.548566904884624,0.8686781029599397,0.01323517247084126,0.05947555629084292,0.25560426834312183,0.30821407891471586,0.19869302671850442,0.10207626768136323,0.04260071139052031,0.014310530234097113,0.004549590536851683,0.0012407974191413682,0.711969559103317,0.23699230705600133,0.04400694846554719,0.00703118537513442,9.0,3.0,2.0,1.0,4.0,8.0,5.0,7.0,6.0
29,8,0.3693962952554325,0.019097359659092213,0.13819319686255258,0.548566904884624,0.8686781029599397,0.01323517247084126,0.05947555629084292,0.25560426834312183,0.30821407891471586,0.19869302671850442,0.10207626768136323,0.04260071139052031,0.014310530234097113,0.004549590536851683,0.0012407974191413682,0.711969559103317,0.23699230705600133,0.04400694846554719,0.00703118537513442,9.0,3.0,2.0,1.0,5.0,7.0,4.0,6.0,8.0
29,9,0.3693962952554325,0.019097359659092213,0.13819319686255258,0.548566904884624,0.8686781029599397,0.01323517247084126,0.05947555629084292,0.25560426834312183,0.30821407891471586,0.19869302671850442,0.10207626768136323,0.04260071139052031,0.014310530234097113,0.004549590536851683,0.0012407974191413682,0.711969559103317,0.23699230705600133,0.04400694846554719,0.00703118537513442,9.0,7.0,2.0,1.0,3.0,5.0,4.0,6.0,8.0
29,10,0.3693962952554325,0.019097359659092213,0.13819319686255258,0.548566904884624,0.8686781029599397,0.01323517247084126,0.05947555629084292,0.25560426834312183,0.30821407891471586,0.19869302671850442,0.10207626768136323,0.04260071139052031,0.014310530234097113,0.004549590536851683,0.0012407974191413682,0.711969559103317,0.23699230705600133,0.04400694846554719,0.00703118537513442,8.0,4.0,2.0,1.0,3.0,9.0,6.0,7.0,5.0
30,2,0.427264210713886,0.05627325767664826,0.23721985093294418,0.16378398410375752,-0.8872229267155238,0.07622641509433963,0.12226415094339622,0.14943396226415095,0.14113207547169812,0.11547169811320755,0.13132075471698113,0.11849056603773585,0.07245283018867925,0.05886792452830188,0.014339622641509434,0.6339622641509434,0.3516981132075472,0.014339622641509434,0.0,5.0,6.0,3.0,4.0,1.0,7.0,2.0,8.0,9.0
30,3,0.427264210713886,0.05627325767664826,0.23721985093294418,0.16378398410375752,-0.8872229267155238,0.07622641509433963,0.12226415094339622,0.14943396226415095,0.14113207547169812,0.11547169811320755,0.13132075471698113,0.11849056603773585,0.07245283018867925,0.05886792452830188,0.014339622641509434,0.6339622641509434,0.3516981132075472,0.014339622641509434,0.0,4.0,5.0,1.0,2.0,6.0,3.0,7.0,8.0,9.0
30,4,0.427264210713886,0.05627325767664826,0.23721985093294418,0.16378398410375752,-0.8872229267155238,0.07622641509433963,0.12226415094339622,0.14943396226415095,0.14113207547169812,0.11547169811320755,0.13132075471698113,0.11849056603773585,0.07245283018867925,0.05886792452830188,0.014339622641509434,0.6339622641509434,0.3516981132075472,0.014339622641509434,0.0,3.0,4.0,1.0,2.0,5.0,6.0,8.0,7.0,9.0
30,5,0.427264210713886,0.05627325767664826,0.23721985093294418,0.16378398410375752,-0.8872229267155238,0.07622641509433963,0.12226415094339622,0.14943396226415095,0.14113207547169812,0.11547169811320755,0.13132075471698113,0.11849056603773585,0.07245283018867925,0.05886792452830188,0.014339622641509434,0.6339622641509434,0.3516981132075472,0.014339622641509434,0.0,6.0,2.0,1.0,3.0,4.0,7.0,9.0,5.0,8.0
30,6,0.427264210713886,0.05627325767664826,0.23721985093294418,0.16378398410375752,-0.8872229267155238,0.07622641509433963,0.12226415094339622,0.14943396226415095,0.14113207547169812,0.11547169811320755,0.13132075471698113,0.11849056603773585,0.07245283018867925,0.05886792452830188,0.014339622641509434,0.6339622641509434,0.3516981132075472,0.014339622641509434,0.0,3.0,7.0,1.0,5.0,4.0,6.0,8.0,2.0,9.0
30,7,0.427264210713886,0.05627325767664826,0.23721985093294418,0.16378398410375752,-0.8872229267155238,0.07622641509433963,0.12226415094339622,0.14943396226415095,0.14113207547169812,0.11547169811320755,0.13132075471698113,0.11849056603773585,0.07245283018867925,0.05886792452830188,0.014339622641509434,0.6339622641509434,0.3516981132075472,0.014339622641509434,0.0,4.0,7.0,1.0,3.0,5.0,6.0,9.0,2.0,8.0
30,8,0.427264210713886,0.05627325767664826,0.23721985093294418,0.16378398410375752,-0.8872229267155238,0.07622641509433963,0.12226415094339622,0.14943396226415095,0.14113207547169812,0.11547169811320755,0.13132075471698113,0.11849056603773585,0.07245283018867925,0.05886792452830188,0.014339622641509434,0.6339622641509434,0.3516981132075472,0.014339622641509434,0.0,6.0,5.0,2.0,3.0,1.0,8.0,9.0,4.0,7.0
30,9,0.427264210713886,0.05627325767664826,0.23721985093294418,0.16378398410375752,-0.8872229267155238,0.07622641509433963,0.12226415094339622,0.14943396226415095,0.14113207547169812,0.11547169811320755,0.13132075471698113,0.11849056603773585,0.07245283018867925,0.05886792452830188,0.014339622641509434,0.6339622641509434,0.3516981132075472,0.014339622641509434,0.0,5.0,4.0,1.0,7.0,2.0,8.0,9.0,3.0,6.0
30,10,0.427264210713886,0.05627325767664826,0.23721985093294418,0.16378398410375752,-0.8872229267155238,0.07622641509433963,0.12226415094339622,0.14943396226415095,0.14113207547169812,0.11547169811320755,0.13132075471698113,0.11849056603773585,0.07245283018867925,0.05886792452830188,0.014339622641509434,0.6339622641509434,0.3516981132075472,0.014339622641509434,0.0,6.0,2.0,1.0,7.0,3.0,8.0,9.0,5.0,4.0
31,2,0.5805937306671053,0.0226528990075549,0.15050880043225012,-0.7995664609065927,1.2213792867087783,0.008130792096520371,0.013879174680888267,0.026425074313691205,0.05654397621961881,0.14311942647315964,0.26632715509704497,0.27548522468963105,0.1667249519146704,0.04004196537856269,0.0033222591362126247,0.699969400244798,0.25124584717607973,0.03890540304248995,0.009879349536632278,6.0,9.0,8.0,5.0,1.0,3.0,2.0,4.0,7.0
31,3,0.5805937306671053,0.0226528990075549,0.15050880043225012,-0.7995664609065927,1.2213792867087783,0.008130792096520371,0.013879174680888267,0.026425074313691205,0.05654397621961881,0.14311942647315964,0.26632715509704497,0.27548522468963105,0.1667249519146704,0.04004196537856269,0.0033222591362126247,0.699969400244798,0.25124584717607973,0.03890540304248995,0.009879349536632278,8.0,9.0,3.0,6.0,1.0,7.0,5.0,4.0,2.0
31,4,0.5805937306671053,0.0226528990075549,0.15050880043225012,-0.7995664609065927,1.2213792867087783,0.008130792096520371,0.013879174680888267,0.026425074313691205,0.05654397621961881,0.14311942647315964,0.26632715509704497,0.27548522468963105,0.1667249519146704,0.04004196537856269,0.0033222591362126247,0.699969400244798,0.25124584717607973,0.03890540304248995,0.009879349536632278,7.0,9.0,2.0,3.0,1.0,5.0,6.0,4.0,8.0
